#==================================================
#    Mayadas-Shatzkes Resistivity Calculation
#==================================================
# PARAMETERS
# Option of calculation :  1
# Option of error bar   :  2
# Constant error bar    :      2.00000E-02
#==================================================
# 1- 0 : Debye temperature (K) :                       2.15000E+02
# Limits :     1.95000E+02    2.30000E+02   F   F
#==================================================
# 2- 0 : Residual resistivity (microOhm.cm) :          2.11000E+00
# Limits :     2.00000E+00    1.00000E-02   F   F
#==================================================
# 3- 0 : R - Grain boundary scattering parameter :     3.90000E-01
# Limits :     5.00000E-02    1.50000E-01   F   F
#==================================================
# 4- 0 : p - Interface scattering parameter :          1.00000E+00
# Limits :     7.00000E-01    9.00000E-01   F   F
#==================================================
# 5- 0 : Film thickness (nm) :                         1.00000E+01
# Limits :     4.00000E+00    6.00000E+00   F   F
#==================================================
# 6- 0 : Grain size (nm) :                             1.00000E+01
# Limits :     3.00000E+00    7.00000E+00   F   F
#=======================================================================================
# Reliance factors
# Chi2      :       1.85530E+03
# RBragg    :       5.79284E-02
# RBraggexp :       1.97476E-03
# Goodness  :       2.93344E+01
#=======================================================================================
#                   Temperature      Experimental_Resistivity  Sig_Experimental_Resistivity       Theoretical_Resistivity
               0.3000051575E+03              0.1079394511E+02              0.2000000000E-01              0.1091246138E+02
               0.3000021973E+03              0.1079376494E+02              0.2000000000E-01              0.1091244588E+02
               0.2999996490E+03              0.1079375831E+02              0.2000000000E-01              0.1091243254E+02
               0.2999993439E+03              0.1079390335E+02              0.2000000000E-01              0.1091243094E+02
               0.3000044556E+03              0.1079369405E+02              0.2000000000E-01              0.1091245771E+02
               0.2999989014E+03              0.1079389049E+02              0.2000000000E-01              0.1091242862E+02
               0.2999970093E+03              0.1079331431E+02              0.2000000000E-01              0.1091241871E+02
               0.2999985962E+03              0.1079357823E+02              0.2000000000E-01              0.1091242702E+02
               0.3000005493E+03              0.1079312779E+02              0.2000000000E-01              0.1091243725E+02
               0.3000004883E+03              0.1079360399E+02              0.2000000000E-01              0.1091243693E+02
               0.3000113068E+03              0.1079385179E+02              0.2000000000E-01              0.1091249358E+02
               0.2999987946E+03              0.1079365547E+02              0.2000000000E-01              0.1091242806E+02
               0.2999904938E+03              0.1079386469E+02              0.2000000000E-01              0.1091238459E+02
               0.2987814941E+03              0.1078730595E+02              0.2000000000E-01              0.1090605296E+02
               0.2978656464E+03              0.1077558186E+02              0.2000000000E-01              0.1090125562E+02
               0.2968409576E+03              0.1076493916E+02              0.2000000000E-01              0.1089588715E+02
               0.2958473969E+03              0.1075389115E+02              0.2000000000E-01              0.1089068074E+02
               0.2948347931E+03              0.1074237608E+02              0.2000000000E-01              0.1088537351E+02
               0.2938468933E+03              0.1073118947E+02              0.2000000000E-01              0.1088019474E+02
               0.2928424072E+03              0.1071978101E+02              0.2000000000E-01              0.1087492798E+02
               0.2918457031E+03              0.1070901590E+02              0.2000000000E-01              0.1086970097E+02
               0.2908486023E+03              0.1069736281E+02              0.2000000000E-01              0.1086447083E+02
               0.2898318024E+03              0.1068610860E+02              0.2000000000E-01              0.1085913627E+02
               0.2888551941E+03              0.1067482883E+02              0.2000000000E-01              0.1085401153E+02
               0.2878430634E+03              0.1066309835E+02              0.2000000000E-01              0.1084869928E+02
               0.2868708954E+03              0.1065128089E+02              0.2000000000E-01              0.1084359573E+02
               0.2858602448E+03              0.1063984017E+02              0.2000000000E-01              0.1083828906E+02
               0.2848582458E+03              0.1062800990E+02              0.2000000000E-01              0.1083302668E+02
               0.2838437500E+03              0.1061598017E+02              0.2000000000E-01              0.1082769753E+02
               0.2828356934E+03              0.1060451999E+02              0.2000000000E-01              0.1082240104E+02
               0.2818489380E+03              0.1059277994E+02              0.2000000000E-01              0.1081721535E+02
               0.2808526001E+03              0.1058152577E+02              0.2000000000E-01              0.1081197816E+02
               0.2798383026E+03              0.1056945416E+02              0.2000000000E-01              0.1080664538E+02
               0.2788414459E+03              0.1055816137E+02              0.2000000000E-01              0.1080140312E+02
               0.2778430023E+03              0.1054714544E+02              0.2000000000E-01              0.1079615134E+02
               0.2768410492E+03              0.1053513809E+02              0.2000000000E-01              0.1079087989E+02
               0.2758541565E+03              0.1052359444E+02              0.2000000000E-01              0.1078568650E+02
               0.2748547974E+03              0.1051258165E+02              0.2000000000E-01              0.1078042630E+02
               0.2738543549E+03              0.1050076745E+02              0.2000000000E-01              0.1077515917E+02
               0.2728370972E+03              0.1048933307E+02              0.2000000000E-01              0.1076980224E+02
               0.2718346100E+03              0.1047762509E+02              0.2000000000E-01              0.1076452182E+02
               0.2708291016E+03              0.1046588500E+02              0.2000000000E-01              0.1075922422E+02
               0.2698498077E+03              0.1045525846E+02              0.2000000000E-01              0.1075406349E+02
               0.2688427582E+03              0.1044319654E+02              0.2000000000E-01              0.1074875521E+02
